CLMU_contribution	Title	Journal	DOI	Year	First_a	Com_a	First_country	Com	cited
Air temperature urban heat island	Factors Influencing the Spatial Variability of Air Temperature Urban Heat Island Intensity in Chinese Cities	Adv. Atmos. Sci.	https://doi.org/10.1007/s00376-023-3012-y	2024	Nanjing University of Information Science & Technology	Nanjing University of Information Science & Technology; Yale University	China	China; USA	0
Biophysical drivers of seasonal hysteresis of urban heat Islands	Factors Influencing the Spatial Variability of Air Temperature Urban Heat Island Intensity in Chinese Cities	JGR Atmosphere	10.1007/s00376-023-3012-y	2024	National University of Defense Technology	Nanjing University; China Meteorological Administration; National University of Defense Technology	China	China	0
urban humid heat modeling	Increased heat risk in wet climate induced by urban humid heat	Nature	10.1038/s41586-023-05911-1	2023	Yale University	Yale University	USA	USA	52
Urban temperature and humidity modeling	Large humidity effects on urban heat exposure and cooling challenges under climate change	Environ. Res. Lett.	10.1088/1748-9326/acc475	2023	University of Illinois at Urbana-Champaign	University of Illinois at Urbana-Champaign	USA	USA	9
Sensitivity of urban canopy air temperature to anthropogenic heat flux	Deciphering the sensitivity of urban canopy air temperature to anthropogenic heat flux with a forcing-feedback framework	Environ. Res. Lett.	10.1088/1748-9326/ace7e0	2023	Boston University	Boston University	USA	USA	2
urban heat island and heat index modeling	The urban heat island and thermal heat stress correlate with climate dynamics and energy budget variations in multiple urban environments	Sustainable Cities and Society	https://doi.org/10.1016/j.scs.2023.104422	2023	Sungkyunkwan University	Sungkyunkwan University	Republic of Korea	Republic of Korea	28
Urban heat Islands and Thermal Comfort	Modeling Urban Heat Islands and Thermal Comfort During a Heat Wave Event in East China With CLM5 Incorporating Local Climate Zones	JGR Atmosphere	10.1029/2023JD038883	2023	Nanjing University	Nanjing University	China	China	1
urban runoff	Impacts of climate change on global total and urban runoff	Journal of Hydrology	https://doi.org/10.1016/j.jhydrol.2023.129352	2023	University of Illinois Urbana-Champaign	University of Illinois Urbana-Champaign	USA	USA	8
Urban temperature modeling	Large model structural uncertainty in global projections of urban heat waves	Nat Commun	10.1038/s41467-021-24113-9	2021	University of Illinois Urbana-Champaign	University of Illinois Urbana-Champaign	USA	USA	31
Urban temperature and humidity modeling	Global multi-model projections of local urban climates	Nat. Clim. Chang.	10.1038/s41558-020-00958-8	2021	University of Illinois Urbana-Champaign	University of Illinois Urbana-Champaign	USA	USA	149
Urban Heat Island	Analysis of the Daytime Urban Heat Island Mechanism in East China	JGR Atmosphere	https://doi.org/10.1029/2020JD034066	2021	Nanjing University	Nanjing University	China	China	5
White Roofs Adaptation	Where Are White Roofs More Effective in Cooling the Surface?	Geophysical Research Letters	10.1029/2020GL087853	2020	Boston University	Boston University	USA	USA	15
Urban heat island intensity and its driving factors	Impact of Biophysical Mechanisms on Urban Heat Island Associated with Climate Variation and Urban Morphology	Scientific Reports	10.1038/s41598-019-55847-8	2019	Sungkyunkwan University	Sungkyunkwan University	Republic of Korea	Republic of Korea	35
