CLMU_contribution,Theme,Title,Journal,DOI,Year,First_a,Com_a,First_country,Com,cited,Bib
Air temperature UHI analysis,Spatial patterns and mechanism of UHI,Factors Influencing the Spatial Variability of Air Temperature Urban Heat Island Intensity in Chinese Cities,Adv. Atmos. Sci.,10.1007/s00376-023-3012-y,2024,Nanjing University of Information Science & Technology,Nanjing University of Information Science & Technology; Yale University,China,China; USA,0,\cite{LYUETAL24Adv.Atmos.Sci.}
Biophysical analysis of UHI,Mechanism of UHI,Biophysical Drivers of Seasonal Hysteresis of Urban Heat Islands Across Climates and Urban Landscapes,JGR Atmosphere,10.1029/2023JD040446,2024,National University of Defense Technology,Nanjing University; China Meteorological Administration; National University of Defense Technology,China,China,0,\cite{LIETAL24J.Geophys.Res.Atmospheres}
Urban humid heat modeling,Mechanism of humid hea,Increased heat risk in wet climate induced by urban humid heat,Nature,10.1038/s41586-023-05911-1,2023,Yale University,Yale University,USA,USA,52,\cite{ZHANGETAL23Natureb}
Urban temperature and humidity modeling,Projection of humid heat and adaptation,Large humidity effects on urban heat exposure and cooling challenges under climate change,Environ. Res. Lett.,10.1088/1748-9326/acc475,2023,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,USA,USA,9,\cite{YANGETAL23Environ.Res.Lett.a}
Urban canopy air temperature and anthropogenic heat flux modeling,Spatial and temporal patterns of urban canopy air temperature to anthropogenic heat flux,Deciphering the sensitivity of urban canopy air temperature to anthropogenic heat flux with a forcing-feedback framework,Environ. Res. Lett.,10.1088/1748-9326/ace7e0,2023,Boston University,Boston University,USA,USA,2,\cite{WANGETAL23Environ.Res.Lett.a}
UHI and heat index modeling,Correlated analysis of UHI/heat index  and climate dynamics and energy budget ,The urban heat island and thermal heat stress correlate with climate dynamics and energy budget variations in multiple urban environments,Sustainable Cities and Society,10.1016/j.scs.2023.104422,2023,Sungkyunkwan University,Sungkyunkwan University,Republic of Korea,Republic of Korea,28,\cite{MOHAMMADHARMAYCHOI23SustainableCitiesandSociety}
Urban heat island and thermal comfort modeling,Modeling  of UHI and thermal comfort during heat wave,Modeling Urban Heat Islands and Thermal Comfort During a Heat Wave Event in East China With CLM5 Incorporating Local Climate Zones,JGR Atmosphere,10.1029/2023JD038883,2023,Nanjing University,Nanjing University,China,China,1,\cite{LIETAL23J.Geophys.Res.Atmospheres}
Urban runoff modeling,Analysis of climate change on global total and urban runoff,Impacts of climate change on global total and urban runoff,Journal of Hydrology,10.1016/j.jhydrol.2023.129352,2023,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,USA,USA,8,\cite{GRAYETAL23JournalofHydrologyc}
Urban temperature modeling,Projection of urban heat wave ,Large model structural uncertainty in global projections of urban heat waves,Nat Commun,10.1038/s41467-021-24113-9,2021,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,USA,USA,31,\cite{ZHENGETAL21NatCommun}
Urban temperature and humidity modeling,Projection of urban temperature and  humidity,Global multi-model projections of local urban climates,Nat. Clim. Chang.,10.1038/s41558-020-00958-8,2021,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,USA,USA,149,\cite{ZHAOETAL21Nat.Clim.Chang.}
Urban heat island analysis,Mechanism of UHI,Analysis of the Daytime Urban Heat Island Mechanism in East China,JGR Atmosphere,10.1029/2020JD034066,2021,Nanjing University,Nanjing University,China,China,5,\cite{LIZHANG21J.Geophys.Res.Atmospheres}
Validate white roofs adaptation,Valiation of adpation,Where Are White Roofs More Effective in Cooling the Surface?,Geophysical Research Letters,10.1029/2020GL087853,2020,Boston University,Boston University,USA,USA,15,\cite{WANGETAL20Geophys.Res.Lett.a}
